Origin,start_lat,start_lon,Dest,end_lat,end_lon,Total
BOS,42.36429977,-71.00520325,SYR,43.11119843,-76.10630035,592
BOS,42.36429977,-71.00520325,TPA,27.97550011,-82.53320313,323
BTM,45.95479965,-112.4970016,BZN,45.77750015,-111.1529999,179
BTR,30.533199,-91.149597,ATL,33.6367,-84.428101,248
BTR,30.533199,-91.149597,BNA,36.12450027,-86.67819977,266
BTR,30.533199,-91.149597,DFW,32.896801,-97.038002,715
BTR,30.533199,-91.149597,IAH,29.9843998,-95.34140015,229
BTR,30.533199,-91.149597,JAN,32.31119919,-90.07589722,72
BTR,30.533199,-91.149597,LFT,30.20529938,-91.98760223,70
BTR,30.533199,-91.149597,MEM,35.04240036,-89.97669983,310
BTR,30.533199,-91.149597,MOB,30.69120026,-88.24279785,183
BTR,30.533199,-91.149597,PNS,30.47340012,-87.18659973,176
BTV,44.47190094,-73.15329742,ALB,42.74829865,-73.80169678,4
BTV,44.47190094,-73.15329742,EWR,40.69250107,-74.16870117,327
BTV,44.47190094,-73.15329742,LGA,40.77719879,-73.87259674,268
BTV,44.47190094,-73.15329742,MHT,42.932598,-71.435699,29
BTV,44.47190094,-73.15329742,ORD,41.9786,-87.9048,262
BTV,44.47190094,-73.15329742,PHL,39.87189865,-75.2410965,91
BTV,44.47190094,-73.15329742,PIT,40.49150085,-80.23290253,273
BTV,44.47190094,-73.15329742,SYR,43.11119843,-76.10630035,327
BUF,42.94049835,-78.73220062,ALB,42.74829865,-73.80169678,158
BUF,42.94049835,-78.73220062,ATL,33.6367,-84.428101,352
BUF,42.94049835,-78.73220062,BDL,41.93889999,-72.68319702,165
BUF,42.94049835,-78.73220062,BOS,42.36429977,-71.00520325,251
BUF,42.94049835,-78.73220062,BWI,39.1754,-76.668297,360
BUF,42.94049835,-78.73220062,CLE,41.4117012,-81.84980011,559
BUF,42.94049835,-78.73220062,DCA,38.8521,-77.037697,258
BUF,42.94049835,-78.73220062,DEN,39.86169815,-104.6729965,81
BUF,42.94049835,-78.73220062,DTW,42.21239853,-83.35340118,329
BUF,42.94049835,-78.73220062,EWR,40.69250107,-74.16870117,964
BUF,42.94049835,-78.73220062,IAD,38.94449997,-77.45580292,301
BUF,42.94049835,-78.73220062,JFK,40.63980103,-73.77890015,179
BUF,42.94049835,-78.73220062,LGA,40.77719879,-73.87259674,597
BUF,42.94049835,-78.73220062,MSP,44.882,-93.221802,76
BUF,42.94049835,-78.73220062,ORD,41.9786,-87.9048,885
BUF,42.94049835,-78.73220062,PHL,39.87189865,-75.2410965,262
BUF,42.94049835,-78.73220062,PIT,40.49150085,-80.23290253,364
BUF,42.94049835,-78.73220062,RDU,35.87760162,-78.78749847,269
BUF,42.94049835,-78.73220062,ROC,43.1189003,-77.67240143,118
BUF,42.94049835,-78.73220062,SYR,43.11119843,-76.10630035,420
BUR,34.20069885,-118.3590012,BFL,35.43360138,-119.0569992,81
BUR,34.20069885,-118.3590012,DEN,39.86169815,-104.6729965,517
